MID,MERCHANT_DBA_NAME,MSO,SOURCE_CODE,WILAYAH,CHANNEL,TAHUN,BULAN
202147583,CEMPAKA KOSMETIK MBL,B63,,WPD,MBR,2019,6
202147591,CHANGKEE STORY MBL,B60,,WPD,MBR,2019,6
202147609,PLANET GAMES STORE MBL,B60,,WPD,MBR,2019,6
202147617,MAARS COMPUTER MBL,B60,,WPD,MBR,2019,6
202147625,MEOOONG PETSHOP MBL.,B62,,WPD,MBR,2019,6
202147633,PT TEKIT TRIMANUNGGAL PRI,B62,,WPD,MBR,2019,6
202147641,TOKO BERAS SOLOK MBL,B62,,WPD,MBR,2019,6
202147658,KARTIKA PONSEL MBL,B64,,WPD,MBR,2019,6
202147666,DYANA SALON MBL,B65,,WPD,MBR,2019,6
202147674,BUNDA COLLECTION MBL.,B65,,WPD,MBR,2019,6
202147682,KHASIAK MBL,B65,,WPD,MBR,2019,6
202147690,PLANET FASHION MBL.,B65,,WPD,MBR,2019,6
202147708,TOKO MAS ANDARA GOLD MBL,B66,,WPD,MBR,2019,6
202147716,ISTANA SILVER MBL,B66,,WPD,MBR,2019,6
202147732,EDOLLY SHOP MBL,B66,,WPD,MBR,2019,6
202147740,BANDUNG VARIASI MBL,B66,,WPD,MBR,2019,6
202147757,NAZAKE MART MBL,B66,,WPD,MBR,2019,6
202147765,SRC ELISIYA MBL,B66,,WPD,MBR,2019,6
202147773,SRC NIKO MBL,B66,,WPD,MBR,2019,6
202147799,BEST FONE MBL,B65,,WPD,MBR,2019,6
202147815,SPASHOE MBL,B63,,WPD,MBR,2019,6
202147823,KADIINA MBL,B62,,WPD,MBR,2019,6
202147831,SANTI ACCESORIES MBL.,B62,,WPD,MBR,2019,6
202147849,KS MALL BOTANIA 2 MBL,B67,,WPD,MBR,2019,6
202147856,COCO BOUTIQUE MBL,B67,,WPD,MBR,2019,6
202147864,TOKO MAGIC STAR TOYS MBL,B67,,WPD,MBR,2019,6
202147872,MOONSTAR COLLECTION MBL,B67,,WPD,MBR,2019,6
202147880,NEO KAPUAS SUKSES MBL,B67,,WPD,MBR,2019,6
202147898,SHAKEELA KITCHEN & COFFEE,B67,,WPD,MBR,2019,6
202147904,TOKO VIONA MBL,B67,,WPD,MBR,2019,6
202147914,BRITES CELL MBL,B67,,WPD,MBR,2019,6
202147922,BOLU AWAK KOPIGO MBL,B67,,WPD,MBR,2019,6
202147955,TOKO AFIQAH KIDS MBL,B64,,WPD,MBR,2019,6
202148045,SATRIA GORDYN MBL.,B62,,WPD,MBR,2019,6
202148060,WIJIS WAROENG MBL,B68,,WPD,MBR,2019,6
202148078,TB DUTA BANGUNAN MBL.,B68,,WPD,MBR,2019,6
202148086,PRAKTEK DR RIDHO PERMANA,B68,,WPD,MBR,2019,6
202148094,BUNGA TANJUNG COLLECTION,B68,,WPD,MBR,2019,6
202148102,PT. ANEKA DUTA BANGUNAN,B68,,WPD,MBR,2019,6
202148110,MAJU INDAH BANGUNAN MBL,B68,,WPD,MBR,2019,6
202148128,THE CORNER MBL.,B68,,WPD,MBR,2019,6
202148144,TIFFANY HOUSEWARE STORE,B60,,WPD,MBR,2019,6
202148151,FS CLINIC MBL,B68,,WPD,MBR,2019,6
202148169,DESIGNER GYPSUM MBL,B68,,WPD,MBR,2019,6
202148177,ALEADEVA APPAREL MBL,B68,,WPD,MBR,2019,6
202148193,NEO MOBILE MBL,B68,,WPD,MBR,2019,6
202148201,MINI MARKET RAHMAD AZKA M,B68,,WPD,MBR,2019,6
202148219,DZ BATIK MBL,B63,,WPD,MBR,2019,6
202148227,T MIT BOUTIQUE MBL,B63,,WPD,MBR,2019,6
202148235,BEBEK MALIOBORO MBL,B60,,WPD,MBR,2019,6
202148243,DIDE KONVEKSI MBL.,B66,,WPD,MBR,2019,6
202148268,CAHAYA AUTOMOTIF MBL.,B64,,WPD,MBR,2019,6
202148276,FAFA CHEESE MBL,B62,,WPD,MBR,2019,6
202148284,ORCHID 2 MBL,B65,,WPD,MBR,2019,6
202148292,BRP BANGUNAN MBL,B64,,WPD,MBR,2019,6
202148318,SELERA BABE MBL,B62,,WPD,MBR,2019,6
202148326,PETSHOP OEMAH KUCING MBL.,B62,,WPD,MBR,2019,6
202148417,TOKO MAS TANJUNG MBL.,B65,,WPD,MBR,2019,6
202148425,TITANIUM MOBILE MBL.,B65,,WPD,MBR,2019,6
202148433,VALENTINE MBL,B63,,WPD,MBR,2019,6
202148441,MEKAR MODE MBL,B63,,WPD,MBR,2019,6
202148458,WABER SPORT MBL,B63,,WPD,MBR,2019,6
202148466,CENTRO HELM MBL,B63,,WPD,MBR,2019,6
202148474,TOKO ZAKI LISTRIK MBL,B63,,WPD,MBR,2019,6
202148482,GEMBARA COFFEE MBL,B63,,WPD,MBR,2019,6
202148516,HAYATI CARE MBL,B66,,WPD,MBR,2019,6
202148524,SRC PENGISIAN MBL,B66,,WPD,MBR,2019,6
202148532,OZORA MOTOR MBL,B60,,WPD,MBR,2019,6
202148540,TOKO ANUGERAH MBL.,B60,,WPD,MBR,2019,6
202148557,EIGER MBL.,B60,,WPD,MBR,2019,6
202148573,RCA AUTOSOUND MBL,B67,,WPD,MBR,2019,6
202148581,TOKO ZAZO KIDS MBL,B67,,WPD,MBR,2019,6
202148599,TB BUANA BARU MBL,B67,,WPD,MBR,2019,6
202148607,ANANG FAMILY KARAOKE MBL,B67,,WPD,MBR,2019,6
202148623,MRS WAFFLES MBL,B62,,WPD,MBR,2019,6
202148631,CREPE SIGNATURE 1 MBL,B62,,WPD,MBR,2019,6
202148649,CREPE SIGNATURE MBL,B62,,WPD,MBR,2019,6
202148656,CHAPAYOM MBL,B62,,WPD,MBR,2019,6
202148664,SHAREENA BOUTIQUE MBL,B64,,WPD,MBR,2019,6
202148706,TENBOLT MBL,B62,,WPD,MBR,2019,6
202148714,TOKO JAM KACAMATA EVANS M,B63,,WPD,MBR,2019,6
202148722,OXAL ACADEMY MBL,B65,,WPD,MBR,2019,6
202148748,PT BIRO PERJALANAN WISATA,B66,,WPD,MBR,2019,6
202148755,ORBIT DISTRO MBL,B63,,WPD,MBR,2019,6
202148763,ZOKU BOUTIQUE MBL,B63,,WPD,MBR,2019,6
202148771,SAFARA BEAUTY & BRIDAL SA,B63,,WPD,MBR,2019,6
202148789,H. BANG KARTO MBL,B60,,WPD,MBR,2019,6
202148797,DUA PUTRA & KAMILA TOYS M,B60,,WPD,MBR,2019,6
202148896,SHES KITCHEN MBL,B64,,WPD,MBR,2019,6
202148904,DAPUR NATURE MBL,B64,,WPD,MBR,2019,6
202148946,YONO PONSEL MBL,B62,,WPD,MBR,2019,6
202148953,MEGA MOTOR MBL.,B62,,WPD,MBR,2019,6
202148961,WAROENG KOPI HARAPAN KELO,B65,,WPD,MBR,2019,6
202148979,WAROENG WAHID MBL.,B65,,WPD,MBR,2019,6
202148987,PRIMA JAYA ELEKTRONIK MBL,B65,,WPD,MBR,2019,6
202149001,BERKAH MART MBL,B64,,WPD,MBR,2019,6
203045703,TB RCTI JAYA MBL,C56,,WPL,MBR,2019,6
203045901,GLASSGLOW MBL,C56,,WPL,MBR,2019,6
203045968,GORGEOUS MBL,C56,,WPL,MBR,2019,6
203046115,KLINIK SEHAT INS MBL,C55,,WPL,MBR,2019,6
203048061,WEN JAYA MOTOR 1 MBL,C55,,WPL,MBR,2019,6
203048079,WEN JAYA MOTOR 2 MBL,C55,,WPL,MBR,2019,6
203048137,TB SETIA USAHA JAYA MBL,C55,,WPL,MBR,2019,6
203048145,TB SELINDUNG MATERI MBL,C55,,WPL,MBR,2019,6
203048335,GAWA MBL,C56,,WPL,MBR,2019,6
203049473,TB GLOBAL JAYA MBL,C55,,WPL,MBR,2019,6
203049580,TOKO ALWI MBL,C55,,WPL,MBR,2019,6
203049804,KANTIN MAWAR MBL,C56,,WPL,MBR,2019,6
203049812,IKAN BAKAR ANTON MBL,C56,,WPL,MBR,2019,6
203049838,CORTEZ COLLECTION MBL,C56,,WPL,MBR,2019,6
203049846,JAMBI DENTAL CARE MBL,C56,,WPL,MBR,2019,6
203049929,TB SURYA PAGI MBL,C55,,WPL,MBR,2019,6
204195705,NIBRA'S MBL,D25,,WBN,MBR,2019,6
204195713,YASA ELEKTRONIK MBL,D25,,WBN,MBR,2019,6
204195903,MIZT CAFE MBL,D27,,WBN,MBR,2019,6
204195937,DELTA CELL MBL,D29,,WBN,MBR,2019,6
204195945,TOKO CORTINA MBL,D26,,WBN,MBR,2019,6
204195986,D'BARNEY MBL,D26,,WBN,MBR,2019,6
204196133,MAGNET FASHION MBL,D25,,WBN,MBR,2019,6
204196141,EXPOSE FASHION MBL,D25,,WBN,MBR,2019,6
204196158,FASSEX LEATHER SHOP MBL,D29,,WBN,MBR,2019,6
204196166,CV CITRA BARU BUSANA MBL,D25,,WBN,MBR,2019,6
204196174,MAHKOTA GALERI MBL,D26,,WBN,MBR,2019,6
204196182,RAFINA FASHION MBL,D26,,WBN,MBR,2019,6
204196190,KARAMAH CELL MBL,D29,,WBN,MBR,2019,6
204196208,ALVA JAYA MOTOR MBL,D29,,WBN,MBR,2019,6
204196216,1688 PHONE MBL,D29,,WBN,MBR,2019,6
204196224,KARJEWELLERY MBL,D25,,WBN,MBR,2019,6
204196232,RIZKI KOMUNIKA MBL,D29,,WBN,MBR,2019,6
204196240,JAYA PHONE CELLULER MBL,D29,,WBN,MBR,2019,6
204196257,CK STORE MBL,D29,,WBN,MBR,2019,6
204196265,ZITOS PHONE MBL,D29,,WBN,MBR,2019,6
204196273,BERLIN MOBILE MBL,D29,,WBN,MBR,2019,6
204196281,BERLIN MOBILE 2 MBL,D29,,WBN,MBR,2019,6
204196307,ANNISA TOUR & TRAVEL MBL,D25,,WBN,MBR,2019,6
204196315,JBS MBL,D25,,WBN,MBR,2019,6
204196331,KIKI JAYA MOTOR 2 MBL,D29,,WBN,MBR,2019,6
204196406,DEJIMA COFFEE MBL,D25,,WBN,MBR,2019,6
204196455,RELOAD SHOP MBL,D27,,WBN,MBR,2019,6
204196463,MANDIRI CELL MBL,D27,,WBN,MBR,2019,6
204196489,DIAMOND MINIMARKET MBL,D25,,WBN,MBR,2019,6
204196497,BINTANG AWAN MBL,D25,,WBN,MBR,2019,6
204196505,KIMIA JAYA UTAMA MBL,D25,,WBN,MBR,2019,6
204196513,QUICKENING MBL,D25,,WBN,MBR,2019,6
204196638,TATAR PAKUAN PARAHYANGAN,D25,,WBN,MBR,2019,6
204196653,SHAMGAR COFFEE & BOOKS MB,D27,,WBN,MBR,2019,6
204196737,HINDRA AUTO SOLUTION MBL,D26,,WBN,MBR,2019,6
204196786,BACKSPACE COFFEE MBL,D27,,WBN,MBR,2019,6
204196794,DUTA GRAHA CONSULTAN MBL,D28,,WBN,MBR,2019,6
204196802,MULLE MBL,D25,,WBN,MBR,2019,6
204196810,DRUG STORE MBL,D26,,WBN,MBR,2019,6
204196844,AMANAH COMPUTER MBL,D27,,WBN,MBR,2019,6
204196851,AMANAH COMPUTER 2 MBL,D27,,WBN,MBR,2019,6
208177998,TPE PASAR TABANAN,,12X2RH002190034000,WDR,MBR,2019,6
209040385,TK ASAKOTI DISTRO MUSLIM,I03,,WBJ,MBR,2019,6
209158997,UD RODA JAYA MBL,I03,,WBJ,MBR,2019,6
209169960,RM OMAH SAMBAL MBL,I03,,WBJ,MBR,2019,6
209172691,DOEDOY STORE MBL,I03,,WBJ,MBR,2019,6
209173004,NIKI ECHO MBL,I03,,WBJ,MBR,2019,6
209173129,TOKO PUTU MBL,I03,,WBJ,MBR,2019,6
209173137,AISHA MBL,I03,,WBJ,MBR,2019,6
209173152,DOMZ MBL,I03,,WBJ,MBR,2019,6
209173160,AL IKHWAA MBL,I03,,WBJ,MBR,2019,6
209173491,KLINIK KOMPUTER MBL,I03,,WBJ,MBR,2019,6
209173509,TOKO WARNA JAYA MBL,I03,,WBJ,MBR,2019,6
209173517,TOKO IVAN JAYA MBL,I03,,WBJ,MBR,2019,6
209173541,MELIA SHOP MBL,I03,,WBJ,MBR,2019,6
209173558,TOKO SKB MEBEL MBL,I03,,WBJ,MBR,2019,6
209173566,WARUNG GIRAS MBL,I03,,WBJ,MBR,2019,6
209173764,KEDAI CO FIX MBL,I03,,WBJ,MBR,2019,6
210095295,RN BOUTIQUE MBL,L94,,WJS,MBR,2019,6
210101861,VENOM CAFE MBL,L94,,WJS,MBR,2019,6
210101879,DAMAR MUKTI BATIK MBL,L94,,WJS,MBR,2019,6
210102992,RAWA BELONG JAYA MBL,L94,,WJS,MBR,2019,6
210103008,KLINIK PRIMA ESTETIKA MBL,L94,,WJS,MBR,2019,6
210103099,APOTEK GRIYA FARMA 1 MBL,L94,,WJS,MBR,2019,6
210103172,TOKO MELATI JAYA MBL,L94,,WJS,MBR,2019,6
210103529,GRENDY MBL,L94,,WJS,MBR,2019,6
210117131,LRT BOULEVARD SELATAN,,I1X1NQ000000000000,WJS,MBR,2019,6
210117149,LRT BOULEVARD UTARA,,I1X1NQ000000000000,WJS,MBR,2019,6
210117156,LRT EQUISTRIAN,,I1X1NQ000000000000,WJS,MBR,2019,6
210117164,LRT PEGANGSAAN DUA,,I1X1NQ000000000000,WJS,MBR,2019,6
210117172,LRT PULOMAS,,I1X1NQ000000000000,WJS,MBR,2019,6
210117180,LRT VELODROME,,I1X1NQ000000000000,WJS,MBR,2019,6
214416091,MENARA 165,,I1X1QN000000000000,WJB,MBR,2019,6
214416109,TAMAN WISATA MATAHARI,,I1X1QN000000000000,WJB,MBR,2019,6
214416117,ASTON PRIORITY SIMATUPANG,,I1X1QN000000000000,WJB,MBR,2019,6
214416158,OPTIK MITRA SYARIF MBL,L94,,WJB,MBR,2019,6
214416166,OPTIK MITRA LIA MBL,L94,,WJB,MBR,2019,6
214416174,OPTIK METRO LIA MBL,L94,,WJB,MBR,2019,6
214416182,DIALEK COFFEE MBL,L94,,WJB,MBR,2019,6
214416265,VM ABN BANDARA SOETTA,,I1X1NN000000000000,WJB,MBR,2019,6
214416349,PONDOK INDAH MALL 1,,I1X1NN000000000000,WJB,MBR,2019,6
214416356,PONDOK INDAH MALL 2,,I1Y1NN000000000000,WJB,MBR,2019,6
214416364,TANAK KOSONG PONDOK INDAH,,I1Y1NN000000000000,WJB,MBR,2019,6
214416729,EDC SECURE UI,,I1X1NN000000000000,WJB,MBR,2019,6
215121831,TROTOAR BENGKEL MBL,L94,,WJY,MBR,2019,6
215139965,KOPRIU MBL,L94,,WJY,MBR,2019,6
215150327,PASAR PERUMNAS KLENDER,,L1X1NOQ00000000000,WJY,MBR,2019,6
215150335,PASAR PRAMUKA,,L1X1NOQ00000000000,WJY,MBR,2019,6
215150343,PASAR PALMERIAM,,L1X1NOQ00000000000,WJY,MBR,2019,6
215150491,CYBER ELEKTRONIK MBL,L94,,WJY,MBR,2019,6
215320599,KAWASAN NIAGA CITRAGRAN,,I1X1QN000000000000,WJY,MBR,2019,6
215320607,GOLDEN BOUTIQUE HOTEL,,I1X1QN000000000000,WJY,MBR,2019,6
215320615,HIGH END CITY,,I1X1QN000000000000,WJY,MBR,2019,6
215320623,LIVING PLAZA,,I1X1QN000000000000,WJY,MBR,2019,6
215320722,SENEN JAYA MBL,L94,,WJY,MBR,2019,6
215320847,PELANGI PRINTING MBL,L94,,WJY,MBR,2019,6
218144301,JAMBULUWUK BATU MBL,L94,,WMA,MBR,2019,6
